An Truong,"Haltom City, TX",http://www.haltomcitytx.com,,error,error
Joe McCourry,"The Colony, TX",http://www.ci.the-colony.tx.us,,error,error
David Plyler,"Sherman, TX",http://www.cityofsherman.org,,error,error
Karen Hunt,"Coppell, TX",http://www.coppelltx.gov,http://www.coppelltx.gov/Pages/Council-Mayor.aspx,cityofcoppelltx,cityofcoppell
Andy Brauninger,"Huntsville, TX",http://www.huntsvilletx.gov,http://www.huntsvilletx.gov/Directory.aspx?EID=158,cityofhuntsville,huntsvilletexas?lang=en
David Suarez,"Weslaco, TX",http://www.weslacotx.gov,,error,error
Ralph Gutierrez,"Schertz, TX",http://schertz.com,http://schertz.com/236/Mayor,cityofschertz,
Robert C. Dye,"Farmers Branch, TX",http://www.farmersbranch.info,https://www.farmersbranchtx.gov/DocumentCenter/View/6981/Mayor-Dye-bio?bidId=,,
Mike Foreman,"Friendswood, TX",http://www.ci.friendswood.tx.us,http://www.ci.friendswood.tx.us/Biographies/,error,error
Clyde Hairston,"Lancaster, TX",http://www.lancaster-tx.com,,error,error
Barry L. Gordon,"Duncanville, TX",http://www.duncanville.com,http://www.duncanville.com/government/city-council/barry-gordon/,error,error
Henry Wilson,"Hurst, TX",http://www.hursttx.gov,,error,error
William 'Bill' T. Benton,"Rosenberg, TX",http://www.ci.rosenberg.tx.us,http://rosenbergtx.gov/city-government/mayor-city-council/,error,error
Bob Bruggeman,"Texarkana, TX",http://www.ci.texarkana.tx.us,http://www.ci.texarkana.tx.us/302/Bob-Bruggeman-Mayor,error,error
Mario Garza,"San Juan, TX",http://www.cityofsanjuantexas.com,,error,error
Kevin Strength,"Waxahachie, TX",http://www.waxahachie.com,,error,error
Bruno 'Ralphy' Lozano,"Del Rio, TX",http://www.cityofdelrio.com,http://www.cityofdelrio.com/445/Mayor,error,error
Bob Brown,"Lufkin, TX",http://www.ci.lufkin.tx.us,http://cityoflufkin.com/council/mayor.htm,,
Louis Rigby,"La Porte, TX",http://www.ci.la-porte.tx.us,,error,error
Elia Garcia,"Socorro, TX",http://www.ci.socorro.tx.us,,error,error
Jerry Mouton Jr.,"Deer Park, TX",http://www.deerparktx.gov,http://www.deerparktx.gov/Index.aspx?NID=1023,deerparktxgov,deerparktxgov?lang=en 
Shelley Brophy,"Nacogdoches, TX",http://www.ci.nacogdoches.tx.us,,error,error
Bradi Diaz,"Copperas Cove, TX",http://www.copperascovetx.gov,,error,error
Scott Cain,"Cleburne, TX",https://www.cleburne.net,https://www.cleburne.net/239/Scott-Cain,cityofcleburne,CityofCleburne
"Stan ""Stosh"" Boyle","Cibolo, TX",https://www.cibolotx.gov/,,error,error
Ramsey English Cantu,"Eagle Pass, TX",http://www.eaglepasstx.us,https://www.portstoplains.com/index.php/our-alliance/our-board/57-personnel/board-members/457-ramsey-english-cantu,,
Doug Gaul,"Hutto, TX",http://www.huttotx.gov,http://www.huttotx.gov/government/city_council/mayor_doug_gaul.php,,home?status=http:
Sergio Coronado,"Hidalgo, TX",http://www.cityofhidalgo.net,http://cityofhidalgo.net/mayors-message/,,
Frank Moreno Junior,"Crystal City, TX",http://www.cityofcc.org,,error,error
